type_habit,prix,adresse,image_lien
Vêtements bébé,0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_2959248_uploaded_image2_1613679445.jpeg
Kit de prière pour garçon,20000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2959193_uploaded_image1_1613676990.jpg
Kit de prière pour fille,20000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2959180_uploaded_image1_1613676547.jpg
Vêtements bébé,3000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2958974_uploaded_image1_1613669656.jpg
Vêtement bébé,3000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2958970_uploaded_image1_1613669538.jpg
Sous vêtements fille,3500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2956441_uploaded_image1_1613569974.jpg
Robe pour filles,6000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2956437_uploaded_image1_1613569866.jpg
Ensemble enfants,10000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2951605_uploaded_image1_1613355841.jpg
Vêtements enfants,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2942141_uploaded_image1_1612893757.jpg
Shorts garçon,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2940112_uploaded_image1_1612814516.jpg
Habits enfants,5000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2939878_uploaded_image1_1612807579.jpg
Vêtements friperie enfants,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_2939012_uploaded_image1_1612783880.jpg
Vêtement enfant,2000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_2938994_uploaded_image1_1612783471.jpg
Friperie enfants,2000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_2938990_uploaded_image1_1612783368.jpg
Vêtements friperie enfants,1500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_2938986_uploaded_image1_1612783292.jpg
Friperie enfants,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_2938981_uploaded_image1_1612783153.jpg
Vêtement enfants,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_2938979_uploaded_image1_1612783091.jpg
Vêtement enfant,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_2938975_uploaded_image1_1612782982.jpg
Vêtement enfants,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_2938684_uploaded_image1_1612774217.jpg
Vêtement enfants,2500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_2938680_uploaded_image1_1612774159.jpg
Vêtements enfant,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_2938653_uploaded_image1_1612773067.jpg
Ensembles enfant,0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2933246_uploaded_image1_1612515788.jpg
Vêtements enfants,6000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2925176_uploaded_image1_1612218065.jpg
Ensembles blouson enfants,0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2923009_uploaded_image1_1612168840.jpg
Ensemble bébé sortie de bain,8000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2920795_uploaded_image1_1612023107.jpg
Ensembles blousons,0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2919804_uploaded_image1_1611967516.jpg
Ensemble bébé,4000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2913239_uploaded_image1_1611677309.jpg
Vêtement enfant,2000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg
Vêtement enfant,3000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2904731_uploaded_image1_1611251346.jpg
Tenue mardi gras,5000,"Saly, Sénégal",https://images.coinafrique.com/thumb_2904713_uploaded_image1_1611250923.jpg
Pull,8500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2898864_uploaded_image1_1611023219.jpg
Ensemble veste,15000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2894368_uploaded_image1_1610800978.jpg
Ensemble de fille,11000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2879908_uploaded_image1_1610201702.jpg
Ensemble de fille nouveau né,10000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2879903_uploaded_image1_1610201519.jpg
Ensembles blousons,12000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2877447_uploaded_image1_1610105451.jpg
Tenue mardi gras,2000,"Saly, Sénégal",https://images.coinafrique.com/thumb_2862996_uploaded_image1_1609531083.jpg
Tenue mardi gras,7000,"Saly, Sénégal",https://images.coinafrique.com/thumb_2862982_uploaded_image1_1609530664.jpg
Tenue mardi gras,5000,"Saly, Sénégal",https://images.coinafrique.com/thumb_2862977_uploaded_image1_1609530409.jpg
Tenue mardi gras,5000,"Saly, Sénégal",https://images.coinafrique.com/thumb_2862973_uploaded_image1_1609530217.jpg
Tenues mardi gras,8000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2862971_uploaded_image1_1609530110.jpg
Ensemble blouson-pantalon,12000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2855625_uploaded_image1_1609119933.jpg
Ensemble blouson-pantalon,12000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2855622_uploaded_image1_1609119638.jpg
Vêtements enfants,7000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2851844_uploaded_image1_1608894466.jpg
Robe enfant,0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_2850857_uploaded_image1_1608821060.jpg
Jeans friperie enfants,2000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3174207_uploaded_image1_1623782291.jpg
Jeans de friperie,2000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3174201_uploaded_image1_1623782246.jpg
