type_chaussure,prix,adresse,image_lien
Chaussures homme,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5311673_uploaded_image1_1746390255.jpg
Chaussures homme,30000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5311670_uploaded_image1_1746390060.jpg
Chaussures Dior B22,15000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5311319_uploaded_image1_1746374323.jpg
Chaussures Nike sd dunk,20000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5309861_uploaded_image1_1746273767.jpg
Chaussures homme,25000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5309671_uploaded_image1_1746266657.jpg
Chaussures Timberland,50000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5308712_uploaded_image1_1746208453.jpg
Sneakers Dior B30 2025,45000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5308703_uploaded_image1_1746208224.jpg
Chaussures homme,20000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5308057_uploaded_image1_1746182805.jpg
Chaussures homme,20000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5308052_uploaded_image1_1746182715.jpg
Chaussures Nike Air max t,25000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5306359_uploaded_image1_1746095228.jpg
Chaussures homme,20000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5305189_uploaded_image1_1746025155.jpg
Sandales homme,15000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5305185_uploaded_image1_1746025051.jpg
Chaussures homme,25000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5305182_uploaded_image1_1746024954.jpg
Chaussures Berluti,25000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5303503_uploaded_image1_1745934080.jpg
Chaussures homme,30000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5300459_uploaded_image1_1745752520.jpg
Sandales Babouche,12000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5300135_uploaded_image1_1745713863.jpg
Chaussures New balance 9060,16500,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5297755_uploaded_image1_1745575658.jpg
Chaussures homme,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5296660_uploaded_image1_1745510256.jpg
Chaussures New Balance 327,20000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5295659_uploaded_image1_1745460927.jpg
Sandales Scratch,8000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5292928_uploaded_image1_1745334273.jpg
Claquettes,8000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5292923_uploaded_image1_1745334000.jpg
Chaussures homme,20000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5292806_uploaded_image1_1745328812.jpg
