type_chaussure,prix,adresse,image_lien
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_813230_uploaded_image1_1565011989.51.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_813228_uploaded_image1_1565011936.11.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_813226_uploaded_image1_1565011851.3.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_813222_uploaded_image1_1565011799.02.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_813213_uploaded_image1_1565011607.36.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_813210_uploaded_image1_1565011527.31.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_813206_uploaded_image1_1565011464.28.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_813203_uploaded_image1_1565011424.68.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_813196_uploaded_image1_1565011238.23.png
Chaussures enfants,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_811210_uploaded_image1_1564948595.79.png
Talons rasés,0,Sénégal,https://images.coinafrique.com/thumb_801336_uploaded_image1_1564654599.57.png
Chaussures talons fillette,0,Sénégal,https://images.coinafrique.com/thumb_801329_uploaded_image1_1564654543.94.png
Talons fillette,0,Sénégal,https://images.coinafrique.com/thumb_801320_uploaded_image1_1564654471.2.png
Chaussures enfant,0,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_799556_uploaded_image1_1564591363.49.png
Chaussures enfant,0,"Petit-Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_799181_uploaded_image1_1564584908.27.png
Chaussures mocassins enfant,0,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_797188_uploaded_image1_1564528106.05.png
Chaussures enfants,0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_796883_uploaded_image1_1564515565.66.png
Chaussures enfants,0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_796881_uploaded_image1_1564515527.51.png
Chaussures enfant,0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_796879_uploaded_image1_1564515493.31.png
Chaussures enfant,4000,Sénégal,https://images.coinafrique.com/thumb_792468_uploaded_image1_1564410485.85.png
Chaussures enfant,0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_792099_uploaded_image1_1564403460.51.png
Chaussures enfant,0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_792044_uploaded_image1_1564402826.19.png
Chaussures enfant,0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_792041_uploaded_image1_1564402795.9.png
Chaussures enfant,0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_792038_uploaded_image1_1564402766.76.png
Claquettes  enfants,0,Sénégal,https://images.coinafrique.com/thumb_781661_uploaded_image1_1564075024.17.png
Chaussures enfant,0,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png
Chaussures enfant,0,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_750016_uploaded_image1_1563279645.35.png
Mocassins enfant,8000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2076365_uploaded_image1_1588895603.jpg
Chaussures /  garçon,8000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2076146_uploaded_image1_1588892627.jpg
Chaussures enfant,10000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2065087_uploaded_image1_1588754465.jpg
Chaussures enfant,10000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2065082_uploaded_image1_1588754439.jpg
Chaussures enfant,10000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2065078_uploaded_image1_1588754407.jpg
Chaussures enfant,7000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2063105_uploaded_image1_1588710562.jpg
Chaussures enfant,7000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2063093_uploaded_image1_1588710337.jpg
Chaussures enfants,10000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2061931_uploaded_image1_1588694498.jpg
Chaussures enfant,10000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2061930_uploaded_image1_1588694471.jpg
Chaussures enfants,10000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2061928_uploaded_image1_1588694441.jpg
Chaussures enfants,10000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2061925_uploaded_image1_1588694405.jpg
Chaussures enfant,10000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2061921_uploaded_image1_1588694361.jpg
Chaussures enfants,15000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2059409_uploaded_image1_1588669821.jpg
Chaussons bébé,1000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_1910111_uploaded_image1_1586296633.75.png
Chaussures enfants,10000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1908886_uploaded_image1_1586280238.42.png
Chaussures enfant,12000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1907189_uploaded_image1_1586261390.67.png
Chaussures bébé,5000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_1906443_uploaded_image1_1586253297.45.png
Chaussures / bébé fille,5000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_1906434_uploaded_image1_1586253219.55.png
Chaussures bébé garçon,5000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_1906399_uploaded_image1_1586252881.19.png
Chaussures enfant Cat & Jack,7000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1873847_uploaded_image1_1585663572.73.png
Chaussures bébé,2000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_1860238_uploaded_image1_1585403818.62.png
Chaussures enfant,0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1828175_uploaded_image1_1584792865.72.png
